future,accuracy,roc,f1,precision,recall
F_AD,0.9956709956709957,0.9957983193277311,0.9955555555555555,0.9911504424778761,1.0
F_BO,1.0,1.0,1.0,1.0,1.0
F_BP,0.9826839826839827,0.9816399152029074,0.9805825242718447,0.9901960784313726,0.9711538461538461
F_C,0.9913419913419913,0.9914529914529915,0.9913793103448275,1.0,0.9829059829059829
F_CC,0.9826839826839827,0.9826086956521739,0.9823008849557522,1.0,0.9652173913043478
F_CD,0.9913419913419913,0.9910714285714286,0.9909909909909909,1.0,0.9821428571428571
F_CL,0.987012987012987,0.9873015873015875,0.9880478087649401,0.992,0.9841269841269841
F_CT,0.961038961038961,0.9615384615384616,0.9600000000000001,1.0,0.9230769230769231
F_DX,0.9789029535864979,0.9774774774774775,0.9805447470817121,0.9618320610687023,1.0
F_EC,0.9956709956709957,0.9951923076923077,0.9951690821256038,1.0,0.9903846153846154
F_ED,0.9956709956709957,0.995575221238938,0.9955555555555555,1.0,0.9911504424778761
F_ES,1.0,1.0,1.0,1.0,1.0
F_FC,0.9956709956709957,0.995575221238938,0.9955555555555555,1.0,0.9911504424778761
F_FV,1.0,1.0,1.0,1.0,1.0
F_GC,0.9956709956709957,0.995049504950495,0.9961685823754789,0.9923664122137404,1.0
F_HG,1.0,1.0,1.0,1.0,1.0
F_HO,0.9873417721518988,0.9870714285714286,0.9880478087649401,0.9841269841269841,0.992
F_JY,0.9826839826839827,0.981651376146789,0.9813084112149533,1.0,0.963302752293578
F_KC,0.9393939393939394,0.9411764705882353,0.9375,1.0,0.8823529411764706
F_LB,0.9913419913419913,0.9908256880733946,0.9907407407407407,1.0,0.981651376146789
F_LC,0.9783549783549783,0.9778761061946903,0.979253112033195,0.959349593495935,1.0
F_LN,0.987012987012987,0.9871900826446283,0.9864253393665158,0.9819819819819819,0.990909090909091
F_MD,1.0,1.0,1.0,1.0,1.0
F_MP,0.9177489177489178,0.921487603305785,0.914798206278027,1.0,0.8429752066115702
F_NG,1.0,1.0,1.0,1.0,1.0
